product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
20,vulputate elementum nullam,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",313.91,28.02,beauty,Gevee,605,Aquamarine,extra large,7.3,2011-11-18,4.8,842,ipsum dolor sit amet,4.6,212,express,14.37
21,vehicula consequat morbi,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,766.24,10.64,electronics,Wordify,843,Maroon,large,7.7,2014-12-06,1.9,97,molestie nibh in lectus pellentesque,4.4,159,standard,22.14
22,metus vitae,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",113.75,4.94,electronics,Aimbo,9,Red,small,2.4,2011-06-21,2.2,503,in sagittis dui vel nisl duis,1.2,409,free,17.18
23,justo sollicitudin ut suscipit,Proin eu mi.,234.72,24.82,clothing,Skalith,89,Mauv,medium,6.7,2016-02-15,3.1,258,orci mauris lacinia sapien quis libero,2.8,547,standard,24.18
24,penatibus et magnis,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,649.4,28.4,home decor,Plambee,852,Fuscia,medium,9.0,2011-09-03,1.2,499,penatibus et,1.1,142,express,22.85
25,sapien cum sociis natoque,In hac habitasse platea dictumst.,300.1,6.86,beauty,Realcube,724,Green,large,3.4,2021-07-21,2.4,857,vivamus vel nulla,2.9,585,free,6.2
26,ac nibh fusce,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,875.06,46.29,beauty,Skipfire,417,Teal,large,2.2,2016-09-02,2.7,423,proin risus praesent,3.0,68,free,3.15
27,mus vivamus,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,924.14,7.19,beauty,Leenti,105,Blue,medium,6.7,2016-04-18,3.2,631,massa,3.6,281,free,41.95
28,amet sapien dignissim vestibulum,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,725.29,38.8,toys,Topicshots,544,Fuscia,medium,7.4,2022-04-01,4.6,377,erat,3.7,944,standard,48.42
29,quisque id justo,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",429.19,18.4,clothing,Mudo,20,Turquoise,small,1.0,2014-10-28,3.1,969,in leo maecenas pulvinar lobortis,3.3,479,standard,9.2
30,platea dictumst morbi,Praesent id massa id nisl venenatis lacinia.,968.74,43.43,electronics,Blogpad,930,Red,medium,3.2,2022-11-20,1.7,96,rhoncus aliquam lacus,4.8,781,standard,15.22
31,suspendisse accumsan tortor quis,Etiam vel augue.,262.52,45.91,beauty,Roomm,210,Teal,large,8.2,2015-11-27,4.0,375,luctus cum sociis natoque penatibus et,1.8,460,free,46.03
32,quisque arcu,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",616.29,1.37,home decor,Browsezoom,986,Pink,medium,5.5,2012-10-04,2.2,877,eget semper rutrum nulla nunc purus,1.7,843,express,22.25
33,in quam fringilla,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",115.5,47.46,beauty,Zoombeat,896,Fuscia,extra large,5.2,2010-01-02,3.2,988,sapien cursus vestibulum,2.0,917,standard,25.41
34,donec odio justo sollicitudin,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,659.91,8.18,toys,Wordpedia,3,Maroon,small,2.0,2013-08-21,4.6,484,felis fusce posuere felis,2.6,679,free,29.03
35,et tempus semper est,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",594.6,25.68,clothing,Tavu,157,Orange,medium,4.4,2017-11-06,4.2,614,odio condimentum id luctus nec molestie,1.4,530,standard,33.34
36,nulla dapibus dolor vel,Nullam varius.,498.73,41.84,beauty,Flashspan,610,Orange,large,5.3,2010-04-09,2.1,860,nisl venenatis lacinia aenean sit amet,4.8,320,free,44.49
37,vivamus in felis eu,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",833.6,17.53,electronics,Divape,812,Goldenrod,extra large,4.5,2010-07-10,1.1,433,nulla suspendisse potenti,4.5,724,standard,2.97
38,in lacus curabitur,Proin at turpis a pede posuere nonummy. Integer non velit.,74.92,1.15,clothing,DabZ,159,Turquoise,extra large,3.0,2019-11-01,2.5,217,nunc commodo placerat praesent blandit,1.7,541,free,44.24
39,lectus pellentesque,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,222.04,31.79,home decor,Wordify,386,Turquoise,extra large,6.5,2013-04-06,1.2,55,phasellus id sapien in sapien,2.9,422,express,0.62
40,ligula suspendisse ornare,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,954.57,24.71,home decor,Buzzdog,5,Fuscia,small,8.5,2020-01-08,1.8,92,amet,1.9,743,standard,26.99
41,lacinia nisi venenatis,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,511.74,5.9,toys,Skipstorm,886,Khaki,medium,1.0,2019-01-21,2.3,24,sit amet eleifend pede,2.3,51,free,24.65
42,tincidunt lacus at,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",720.38,29.11,toys,Skibox,687,Puce,extra large,2.8,2010-04-03,4.5,826,aliquam non mauris morbi non,4.6,129,free,33.9
43,libero ut,Ut at dolor quis odio consequat varius. Integer ac leo.,839.05,10.19,clothing,Riffwire,474,Puce,large,4.9,2010-07-07,3.5,587,eros,1.3,221,express,18.77
44,lacus at turpis,Fusce posuere felis sed lacus.,899.63,47.43,electronics,Centidel,159,Yellow,small,0.8,2022-11-26,1.1,799,eleifend,3.1,307,express,12.27
45,vulputate elementum,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",555.6,33.85,clothing,Gabtune,649,Goldenrod,extra large,2.0,2019-02-17,1.4,516,in porttitor pede,3.7,714,free,35.27
46,ut ultrices,Praesent lectus.,341.31,21.99,electronics,Meedoo,46,Violet,small,2.9,2014-07-10,3.6,156,odio condimentum id luctus nec,4.3,926,free,29.04
47,ornare imperdiet,Nunc rhoncus dui vel sem.,391.61,15.94,electronics,Pixonyx,924,Crimson,large,9.1,2014-03-06,4.6,173,viverra,4.8,793,express,48.36
48,at nunc,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",455.72,5.86,clothing,Skipstorm,380,Fuscia,small,8.7,2019-03-08,4.2,939,pellentesque eget,4.5,664,free,38.97
49,volutpat eleifend,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",43.17,43.4,electronics,Buzzdog,672,Puce,small,8.7,2015-05-23,1.3,404,nisi,3.4,427,free,10.3
50,non interdum in,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",696.39,29.19,toys,Realblab,635,Indigo,small,2.6,2015-11-22,1.5,465,nisi nam ultrices,2.0,968,express,33.33
51,pellentesque viverra,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,703.82,46.77,clothing,Buzzbean,230,Pink,medium,8.1,2019-01-16,4.2,507,felis fusce posuere felis sed,2.6,79,standard,1.84
52,nulla tellus,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",495.51,49.33,home decor,Brainlounge,823,Yellow,small,9.3,2018-05-08,4.5,154,in hac habitasse platea dictumst,4.7,802,free,22.76
53,dis parturient montes,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",42.57,31.35,electronics,Yoveo,715,Green,small,1.0,2010-11-21,2.9,760,sit amet consectetuer adipiscing,2.3,888,standard,32.8
54,varius ut,Fusce consequat.,403.82,0.7,clothing,Skyvu,264,Red,large,0.7,2018-07-16,3.0,884,at velit eu est,1.1,949,free,0.15
55,dis parturient montes,Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,401.81,28.94,home decor,Trilia,120,Blue,small,2.9,2014-01-08,3.0,627,a nibh in quis justo,1.3,372,express,11.97
56,erat volutpat in,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",534.02,39.28,toys,Rhyloo,171,Blue,medium,6.0,2022-07-26,3.7,505,augue quam sollicitudin vitae consectetuer,1.3,278,express,23.19
57,tempus vivamus in,Nulla justo.,592.0,24.21,beauty,Voonte,136,Indigo,large,8.9,2016-02-18,1.8,82,turpis,1.3,264,free,42.77
58,sit amet,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",296.31,37.24,electronics,Gabvine,430,Red,extra large,8.8,2012-01-02,4.3,909,ultrices libero non,3.1,87,express,13.18
59,dignissim vestibulum,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,202.96,25.25,home decor,Gabcube,247,Khaki,large,8.7,2014-11-22,1.1,821,hac habitasse platea dictumst etiam faucibus,4.5,37,free,45.87
60,at velit vivamus vel,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",601.34,24.47,home decor,Chatterpoint,618,Mauv,small,8.7,2012-04-26,4.8,513,posuere cubilia curae duis,1.3,36,express,8.33
61,in hac habitasse,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",984.76,29.41,toys,Voonder,305,Fuscia,medium,7.6,2014-05-06,1.2,919,primis,2.7,803,standard,19.95
62,sit amet,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,804.15,14.53,electronics,Quimm,752,Goldenrod,large,1.7,2013-12-29,2.6,997,lobortis ligula sit amet eleifend pede,3.7,534,standard,48.06
63,nam nulla,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",477.07,12.15,toys,Meetz,902,Puce,extra large,4.2,2017-11-02,4.6,723,vel augue vestibulum ante,4.2,915,express,15.34
64,sed justo pellentesque viverra,Nullam molestie nibh in lectus. Pellentesque at nulla.,66.67,10.42,toys,Quamba,788,Goldenrod,medium,8.4,2014-09-27,3.8,716,scelerisque mauris sit amet eros,3.9,491,express,24.89
65,non lectus aliquam sit,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,990.23,12.69,home decor,Eadel,663,Turquoise,extra large,5.0,2012-08-15,3.9,183,etiam faucibus,4.5,65,standard,37.98
66,nisl duis ac nibh,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,541.65,48.5,toys,Reallinks,602,Puce,extra large,1.3,2013-04-13,3.0,819,congue,2.4,48,express,41.1
67,magnis dis parturient montes,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,467.82,26.89,clothing,Yakidoo,465,Crimson,small,9.8,2017-07-27,4.9,103,nunc,2.6,868,express,16.5
68,lacus morbi quis,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,142.55,41.75,beauty,Yakijo,284,Mauv,small,1.7,2010-03-15,3.7,614,in sagittis dui vel,3.1,243,standard,14.28
69,dictumst aliquam augue,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,864.81,9.93,home decor,Yodel,248,Goldenrod,medium,3.0,2018-02-17,2.1,683,lectus in quam fringilla rhoncus mauris,4.8,870,standard,12.98
70,elementum in hac,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",426.93,14.88,beauty,Wikibox,304,Mauv,extra large,8.2,2019-04-06,4.6,235,quisque,2.2,612,express,10.78
71,erat volutpat,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",71.24,15.86,beauty,Chatterpoint,333,Indigo,small,4.8,2012-09-08,4.0,454,nec nisi vulputate nonummy,4.8,756,free,14.0
72,rutrum nulla tellus,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",184.13,43.69,clothing,Babblestorm,590,Goldenrod,extra large,1.7,2021-05-16,2.5,507,ante vel ipsum praesent blandit,3.1,946,free,27.71
73,vel est donec odio,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,602.43,40.18,home decor,Meedoo,668,Pink,medium,7.8,2014-08-11,3.1,959,ridiculus mus vivamus vestibulum sagittis,4.1,172,free,1.49
74,eget tincidunt eget tempus,Nullam porttitor lacus at turpis.,562.81,43.18,toys,Skilith,217,Teal,small,9.6,2021-03-09,1.3,515,suspendisse accumsan tortor,4.9,323,express,23.23
75,donec semper,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",547.89,25.6,home decor,Kimia,703,Yellow,medium,3.8,2021-12-29,1.8,487,in libero ut,5.0,687,free,22.24
76,lobortis sapien,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,798.56,39.45,clothing,Innojam,163,Goldenrod,large,5.9,2022-08-12,1.8,88,iaculis,1.0,164,express,44.04
77,nibh quisque,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",563.89,5.68,electronics,Tagfeed,27,Crimson,large,5.6,2016-05-01,4.0,134,rutrum at,4.3,886,free,23.72
78,nullam molestie nibh,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",303.37,41.74,home decor,Riffpedia,438,Indigo,extra large,5.8,2022-01-18,3.8,945,a ipsum integer a nibh in,1.3,133,free,26.92
79,at lorem integer tincidunt,Nulla tellus. In sagittis dui vel nisl.,127.79,9.27,electronics,Gabtype,152,Blue,extra large,1.9,2013-10-25,3.8,952,id consequat,4.8,979,express,9.26
80,morbi vestibulum velit,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",714.94,47.72,toys,Meevee,149,Aquamarine,medium,5.5,2017-09-21,1.8,15,dapibus augue vel,2.9,69,free,9.83
81,dictumst morbi vestibulum,Aliquam non mauris.,513.26,12.46,toys,Devcast,565,Fuscia,medium,6.5,2020-01-03,1.8,60,luctus ultricies eu,3.4,514,free,39.98
82,fermentum justo nec condimentum,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,315.65,1.0,toys,Wordware,110,Aquamarine,small,6.5,2018-06-05,2.5,79,luctus nec molestie sed,3.8,65,free,39.05
83,congue risus,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",357.21,41.58,beauty,Dabshots,299,Pink,small,1.3,2015-02-17,3.2,993,eu est congue elementum in,3.6,574,free,21.51
84,vulputate vitae nisl aenean,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",187.51,44.84,electronics,Photospace,18,Mauv,large,8.3,2011-01-30,3.9,357,nulla justo aliquam quis turpis eget,3.0,545,free,3.62
85,tellus nulla ut erat,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",459.36,24.98,electronics,Voomm,896,Mauv,medium,8.7,2018-11-16,1.5,104,mauris non ligula pellentesque,3.2,507,free,35.65
86,donec diam,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,386.7,8.39,beauty,Tazz,135,Mauv,small,6.0,2016-03-09,3.7,428,ipsum aliquam non mauris morbi,1.6,173,express,3.85
87,porta volutpat quam,Cras pellentesque volutpat dui.,167.05,33.19,toys,Meezzy,172,Orange,small,2.9,2016-06-21,1.1,22,ut blandit non interdum in,2.7,251,free,0.26
88,donec dapibus duis,Pellentesque eget nunc.,604.74,20.37,home decor,Babbleopia,89,Goldenrod,extra large,6.7,2017-01-26,2.3,258,at turpis donec posuere metus vitae,3.7,559,express,49.45
89,augue quam sollicitudin vitae,Nullam porttitor lacus at turpis.,292.17,12.56,electronics,Kazio,758,Fuscia,extra large,9.6,2021-06-25,1.9,784,semper interdum mauris ullamcorper purus sit,3.2,219,standard,29.7
90,in hac,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",227.73,36.59,home decor,Abata,174,Orange,large,8.2,2013-06-05,2.9,445,eu,4.9,740,free,17.09
91,quam turpis adipiscing lorem,Aliquam sit amet diam in magna bibendum imperdiet.,439.48,15.64,toys,Zooveo,685,Violet,large,5.1,2017-01-16,4.0,424,platea dictumst aliquam augue quam sollicitudin,2.6,461,free,25.75
92,tortor duis mattis egestas,Praesent blandit. Nam nulla.,560.06,29.74,home decor,Rhynyx,579,Yellow,small,5.2,2016-11-16,3.2,953,magna vulputate,3.0,921,free,15.55
93,eu sapien,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",679.75,44.35,electronics,Mymm,442,Goldenrod,small,7.3,2021-12-27,4.4,901,ligula in lacus,4.3,292,free,14.69
94,etiam vel augue vestibulum,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,787.98,11.53,beauty,Ozu,656,Mauv,medium,6.5,2017-08-06,3.4,242,mi in porttitor pede justo eu,4.4,314,standard,11.22
95,eget rutrum at,Pellentesque viverra pede ac diam.,245.57,6.11,home decor,Yadel,872,Turquoise,extra large,6.0,2014-11-05,1.6,129,ut massa quis augue luctus tincidunt,2.3,337,standard,44.44
96,a suscipit nulla elit,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",297.01,33.41,home decor,Dynabox,606,Pink,large,7.0,2013-02-25,1.9,129,ultrices,2.3,83,free,28.94
97,et magnis dis parturient,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",970.92,10.03,toys,Livepath,364,Fuscia,extra large,2.5,2011-10-26,3.0,335,nisl duis bibendum,2.6,587,standard,46.49
98,amet diam,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,746.87,37.1,home decor,Bluezoom,773,Pink,large,9.8,2017-01-05,3.6,754,integer aliquet massa id lobortis,1.3,241,express,23.27
99,odio donec,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",991.76,21.0,beauty,Yozio,367,Teal,large,2.7,2019-06-08,1.1,5,ut suscipit,1.3,960,free,9.05
100,nonummy integer non velit,Nam tristique tortor eu pede.,347.72,41.03,beauty,Trilith,85,Turquoise,small,5.6,2019-07-24,2.2,402,id lobortis convallis tortor,2.7,353,free,17.88
101,non quam,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,640.69,19.66,electronics,Eabox,957,Maroon,large,7.3,2010-02-23,1.5,823,nec nisi vulputate nonummy maecenas tincidunt,3.4,273,express,35.68
